,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0115215181922854,0.0187585085721285,0.0151500396443302,0.010133603196803,0.0103438190486422,0.00619271380571306,0.00813354383292875,0.0115201110929079,0.00782436043986086,0.0149676415297066,0.0175431232779198,0.0186665636088153,0.00562231022710129,0.0139120800518723,0.0139556673552068,0.00872387900331198,0.0144398238528131,0.00666585353355686,0.00738952143561049
B,0.0115215181922854,0,0.0069093796868114,0.00694919823045825,0.0117299125306817,0.00762170849717482,0.00931498347508467,0.00741926563475919,0.0165812459471929,0.0089010294904731,0.00713832971600165,0.00618035169694261,0.00846307556268536,0.0108001423192928,0.00648936538861134,0.00642176845619974,0.0117289191808181,0.00716452010102372,0.0101185634776448,0.0107001259239552
C,0.0187585085721285,0.0069093796868114,0,0.00807716066332146,0.0193845807775749,0.011331407252547,0.0150657852886049,0.0141398055049387,0.0259263831806169,0.0160460099570604,0.00937608916450177,0.00716082039972673,0.00726993933533492,0.0185162895617093,0.00655471084786861,0.00738015882800447,0.0183665871625753,0.00893790885648617,0.0167905745814295,0.0185907065394275
D,0.0151500396443302,0.00694919823045825,0.00807716066332146,0,0.0128998680552427,0.00852544861831827,0.0125210216954982,0.0111520424610703,0.0179984813572741,0.0132504428077681,0.00825829570836317,0.00934509194021287,0.00818393042200305,0.0144581459259331,0.00940008186401913,0.00813868280464473,0.0136270077681727,0.00729772348810796,0.0127202748143675,0.0125082201931435
E,0.010133603196803,0.0117299125306817,0.0193845807775749,0.0128998680552427,0,0.0110327173042608,0.0115332918574395,0.0104328300453415,0.0105011646250548,0.0105936230707452,0.0136053506093557,0.0191069050788162,0.0173362292690061,0.00856282055239879,0.0140890145546898,0.0138925372684035,0.0113996281163285,0.0148236304273556,0.00873111470503479,0.00784926343103988
F,0.0103438190486422,0.00762170849717482,0.011331407252547,0.00852544861831827,0.0110327173042608,0,0.00888725585623408,0.00641408280393874,0.0161597188039792,0.00659425493598336,0.00581870806301376,0.00876329124734884,0.00904617701440617,0.00979400764603703,0.00739181238520844,0.00718669521548566,0.0124500036220386,0.00701427968250377,0.00835629027788245,0.010473451814115
G,0.00619271380571306,0.00931498347508467,0.0150657852886049,0.0125210216954982,0.0115332918574395,0.00888725585623408,0,0.00821871021394906,0.0137065568315933,0.00750148890064734,0.0121733769208133,0.0136654919245837,0.0153027264668637,0.00592647229610056,0.0100571609426648,0.0111749436590567,0.00831302833386442,0.0122785677934451,0.00643240955244429,0.00798086144498357
H,0.00813354383292875,0.00741926563475919,0.0141398055049387,0.0111520424610703,0.0104328300453415,0.00641408280393874,0.00821871021394906,0,0.0156769951619244,0.00776371678104448,0.00825099977426015,0.0100950420061562,0.0115863495620767,0.00818889358340343,0.00830156169267564,0.00893444027007472,0.0119101214779211,0.00912303495385475,0.00784549159593851,0.00965330167253842
I,0.0115201110929079,0.0165812459471929,0.0259263831806169,0.0179984813572741,0.0105011646250548,0.0161597188039792,0.0137065568315933,0.0156769951619244,0,0.0138787305604493,0.0197791236609492,0.0266381082653804,0.0241058357973749,0.00951811999031832,0.0199570414656416,0.0207430471888928,0.00874033482192363,0.0195704109033413,0.00897861650015196,0.0086762319889308
J,0.00782436043986086,0.0089010294904731,0.0160460099570604,0.0132504428077681,0.0105936230707452,0.00659425493598336,0.00750148890064734,0.00776371678104448,0.0138787305604493,0,0.00981591018719227,0.0129350262066838,0.0161448421859803,0.00737486890886531,0.010852543608572,0.0110394996405659,0.0109301717124975,0.0103767078568501,0.0075726614840732,0.00879518008266897
K,0.0149676415297066,0.00713832971600165,0.00937608916450177,0.00825829570836317,0.0136053506093557,0.00581870806301376,0.0121733769208133,0.00825099977426015,0.0197791236609492,0.00981591018719227,0,0.00735095060557583,0.00874486214906895,0.0132626508927216,0.00717084383558881,0.00731129807423753,0.0154908244269872,0.00748169032378888,0.0121174580717527,0.0127071272572338
L,0.0175431232779198,0.00618035169694261,0.00716082039972673,0.00934509194021287,0.0191069050788162,0.00876329124734884,0.0136654919245837,0.0100950420061562,0.0266381082653804,0.0129350262066838,0.00735095060557583,0,0.0066589325052738,0.0152020470640017,0.00589009755049585,0.00634872400025025,0.0167007439242732,0.00844547631308728,0.016122730806328,0.0172396321793122
M,0.0186665636088153,0.00846307556268536,0.00726993933533492,0.00818393042200305,0.0173362292690061,0.00904617701440617,0.0153027264668637,0.0115863495620767,0.0241058357973749,0.0161448421859803,0.00874486214906895,0.0066589325052738,0,0.0179601591666038,0.00708653782761795,0.00736775711680097,0.0183965734880307,0.00881942579024502,0.0166040096546916,0.0176229251031819
N,0.00562231022710129,0.0108001423192928,0.0185162895617093,0.0144581459259331,0.00856282055239879,0.00979400764603703,0.00592647229610056,0.00818889358340343,0.00951811999031832,0.00737486890886531,0.0132626508927216,0.0152020470640017,0.0179601591666038,0,0.0108977086938588,0.0118100773709747,0.0056502740270914,0.0131872551420187,0.00633002312931654,0.00505748578286642
O,0.0139120800518723,0.00648936538861134,0.00655471084786861,0.00940008186401913,0.0140890145546898,0.00739181238520844,0.0100571609426648,0.00830156169267564,0.0199570414656416,0.010852543608572,0.00717084383558881,0.00589009755049585,0.00708653782761795,0.0108977086938588,0,0.0052927339323183,0.0137480779024674,0.00787428829144652,0.0118327876911401,0.0122438800843945
P,0.0139556673552068,0.00642176845619974,0.00738015882800447,0.00813868280464473,0.0138925372684035,0.00718669521548566,0.0111749436590567,0.00893444027007472,0.0207430471888928,0.0110394996405659,0.00731129807423753,0.00634872400025025,0.00736775711680097,0.0118100773709747,0.0052927339323183,0,0.0140924774412122,0.00697878237272779,0.0115995730488321,0.012804537075286
Q,0.00872387900331198,0.0117289191808181,0.0183665871625753,0.0136270077681727,0.0113996281163285,0.0124500036220386,0.00831302833386442,0.0119101214779211,0.00874033482192363,0.0109301717124975,0.0154908244269872,0.0167007439242732,0.0183965734880307,0.0056502740270914,0.0137480779024674,0.0140924774412122,0,0.0141036144484329,0.00769782281335463,0.00800264880563612
R,0.0144398238528131,0.00716452010102372,0.00893790885648617,0.00729772348810796,0.0148236304273556,0.00701427968250377,0.0122785677934451,0.00912303495385475,0.0195704109033413,0.0103767078568501,0.00748169032378888,0.00844547631308728,0.00881942579024502,0.0131872551420187,0.00787428829144652,0.00697878237272779,0.0141036144484329,0,0.012087407979009,0.0132747604572404
S,0.00666585353355686,0.0101185634776448,0.0167905745814295,0.0127202748143675,0.00873111470503479,0.00835629027788245,0.00643240955244429,0.00784549159593851,0.00897861650015196,0.0075726614840732,0.0121174580717527,0.016122730806328,0.0166040096546916,0.00633002312931654,0.0118327876911401,0.0115995730488321,0.00769782281335463,0.012087407979009,0,0.00567729643884412
T,0.00738952143561049,0.0107001259239552,0.0185907065394275,0.0125082201931435,0.00784926343103988,0.010473451814115,0.00798086144498357,0.00965330167253842,0.0086762319889308,0.00879518008266897,0.0127071272572338,0.0172396321793122,0.0176229251031819,0.00505748578286642,0.0122438800843945,0.012804537075286,0.00800264880563612,0.0132747604572404,0.00567729643884412,0
