,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0131743369374273,0.0205154956334381,0.0177919709345796,0.0101050157837049,0.011650124365551,0.00668819666803002,0.00851718483069172,0.0118380860674038,0.00792477353337652,0.0169085976432895,0.0172401678550754,0.0198671989710782,0.00588866531453994,0.0138948961287887,0.0146641479560475,0.00769899622400011,0.0147731428793431,0.00676690485595411,0.00715048959531873
B,0.0131743369374273,0,0.00702336937355552,0.0076852549482394,0.0137978041931758,0.00828031333504816,0.0117565592824931,0.0079612096578688,0.0214763480330466,0.0109848030367467,0.00750513324034971,0.00584687960245341,0.00867028727035766,0.0122520992107936,0.00657422604822122,0.00686415114753438,0.0140288858662542,0.00778101225366789,0.0122283109095179,0.0136851635648467
C,0.0205154956334381,0.00702336937355552,0,0.00771612172195455,0.0226781556195195,0.0117648862133768,0.0170400687632351,0.0161146973195883,0.0335535401790401,0.018993843097232,0.0098245392405718,0.0065981382967898,0.00714482925833875,0.0210561294690986,0.00730308273481945,0.00747647747433369,0.0209166978435436,0.00849449725784753,0.0194551038967271,0.0223839800497715
D,0.0177919709345796,0.0076852549482394,0.00771612172195455,0,0.0152586964324658,0.00899372708723692,0.0133977391761443,0.0113013928679294,0.0222383096783227,0.015073464336271,0.00818412025367604,0.00807668769860798,0.00786328541437176,0.0160471455824103,0.00914398482126256,0.00880127343094838,0.0163267145738076,0.00710988925140452,0.0149098116144977,0.0157280546644341
E,0.0101050157837049,0.0137978041931758,0.0226781556195195,0.0152586964324658,0,0.0115272598487269,0.0107098447820378,0.0102013335771097,0.0113332377873258,0.010536824102141,0.0150345228700915,0.0195213213926179,0.0183096333564157,0.00865133982129576,0.016981268323095,0.0163081677563777,0.0115416013155325,0.0154110435630597,0.0096234022044397,0.00866531980501233
F,0.011650124365551,0.00828031333504816,0.0117648862133768,0.00899372708723692,0.0115272598487269,0,0.00925410520458464,0.00724873822828142,0.0181248782141287,0.00721442841566926,0.00690546904067935,0.00909283314213944,0.00995337204975166,0.0106716495543739,0.00820565393550402,0.00847358387962417,0.0138146729744447,0.006885472670451,0.00948203872256007,0.0107427082587859
G,0.00668819666803002,0.0117565592824931,0.0170400687632351,0.0133977391761443,0.0107098447820378,0.00925410520458464,0,0.00852493072588012,0.0141118186000726,0.00686889351847764,0.0127894369440315,0.0137681805273768,0.0167535191953752,0.00594481788443136,0.0113890267280539,0.0124612898633817,0.00784969467128872,0.0116117875943404,0.00607195768112549,0.00751292231479741
H,0.00851718483069172,0.0079612096578688,0.0161146973195883,0.0113013928679294,0.0102013335771097,0.00724873822828142,0.00852493072588012,0,0.0150870109661971,0.00743531668641161,0.00858585459099131,0.0101802687983221,0.0116433136488823,0.00831995193055363,0.00875810069372308,0.0102328302427963,0.0113900792527009,0.00859339480636097,0.0081260083840322,0.00935091238688635
I,0.0118380860674038,0.0214763480330466,0.0335535401790401,0.0222383096783227,0.0113332377873258,0.0181248782141287,0.0141118186000726,0.0150870109661971,0,0.014109715306036,0.0235027016864513,0.0288056430041924,0.0265920476502003,0.0114272266613952,0.0233376084282957,0.024900443725904,0.0112127431162368,0.0206128574196781,0.0108017884759088,0.00971972362793715
J,0.00792477353337652,0.0109848030367467,0.018993843097232,0.015073464336271,0.010536824102141,0.00721442841566926,0.00686889351847764,0.00743531668641161,0.014109715306036,0,0.0100715724497389,0.0132895599974405,0.016248697003676,0.00753953999937278,0.0120902968564861,0.0126456405716335,0.0109722495502914,0.0101419313691479,0.00764489971338466,0.00809492973036503
K,0.0169085976432895,0.00750513324034971,0.0098245392405718,0.00818412025367604,0.0150345228700915,0.00690546904067935,0.0127894369440315,0.00858585459099131,0.0235027016864513,0.0100715724497389,0,0.00616627606188134,0.0080205213688159,0.0144107155680787,0.00782591649555049,0.00707880963864684,0.0178023301082577,0.00707479504664041,0.0149474661946165,0.0162730281755834
